produto,ano_mes,volume,ano,mes
Planos / Flat Products,2013_out,67.408,2013,out
Longos / Long Products,2013_out,121.166,2013,out
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_out,562.144,2013,out
Placas / Slabs,2013_out,529.098,2013,out
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_out,33.046,2013,out
Total (Mil t / Thousand Tonnes),2013_out,750.7180000000001,2013,out
(US$ Milhões / US$ Millions),2013_out,511.359,2013,out
Laminados / Rolled Products,2013_out,412.981,2013,out
Planos / Flat Products,2013_out,260.75399999999996,2013,out
Longos / Long Products,2013_out,152.227,2013,out
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_out,0.41100000000000003,2013,out
Total (Mil t / Thousand Tonnes),2013_out,413.392,2013,out
(US$ Milhões / US$ Millions),2013_out,417.845,2013,out
Consumo Aparente / Apparent Consumption (***),2013_out,2548.795,2013,out
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_out,1464.259,2013,out
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_out,1084.536,2013,out
Aço Bruto / Crude Steel,2013_nov,2727.159,2013,nov
Laminados / Rolled Products (*),2013_nov,2199.432,2013,nov
Planos / Flat Products,2013_nov,1218.682,2013,nov
Longos / Long Products,2013_nov,980.75,2013,nov
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_nov,448.41999999999996,2013,nov
Placas / Slabs,2013_nov,376.777,2013,nov
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_nov,71.643,2013,nov
Ferro-Gusa / Pig Iron,2013_nov,2055.209,2013,nov
Vendas Internas / Domestic Sales (*),2013_nov,1940.644,2013,nov
Laminados / Rolled Products,2013_nov,1895.001,2013,nov
Planos / Flat Products,2013_nov,1082.22,2013,nov
Longos / Long Products,2013_nov,812.781,2013,nov
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_nov,45.643,2013,nov
Placas / Slabs,2013_nov,22.1,2013,nov
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_nov,23.543,2013,nov
Vendas Externas / Foreign Market (**),2013_nov,600.0039999999999,2013,nov
Laminados / Rolled Products,2013_nov,195.928,2013,nov
Planos / Flat Products,2013_nov,108.985,2013,nov
Longos / Long Products,2013_nov,86.943,2013,nov
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_nov,404.07599999999996,2013,nov
Placas / Slabs,2013_nov,361.155,2013,nov
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_nov,42.921,2013,nov
Laminados / Rolled Products,2013_nov,188.66199999999998,2013,nov
